benchmark	model	layer	task	score	rows
dwug_en12	chatgpt	chatgpt	wic	0.606	28929
dwug_en12	chatgpt	chatgpt	wsi-adjusted_rand_score	0.34	28929
dwug_en12	chatgpt	chatgpt	wsi-rand_score	0.802	28929
dwug_en12	chatgpt	chatgpt	wsi-normalized_mutual_info	0.371	28929
dwug_en12	chatgpt	chatgpt	wsi-adjusted_mutual_info	0.31	28929
dwug_en12	chatgpt	chatgpt	wsi-purity	0.877	28929
dwug_en12	chatgpt	chatgpt	wsi-homogeneity	0.373	28929
dwug_en12	chatgpt	chatgpt	wsi-fowlkes_mallows	0.816	28929
dwug_en12	chatgpt	chatgpt	lsc	0.818	28929
dwug_en12	xl-lexeme	tuned	wic	0.626	28929
dwug_en12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.27	28929
dwug_en12	xl-lexeme	tuned	wsi-rand_score	0.757	28929
dwug_en12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.319	28929
dwug_en12	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.248	28929
dwug_en12	xl-lexeme	tuned	wsi-purity	0.834	28929
dwug_en12	xl-lexeme	tuned	wsi-homogeneity	0.281	28929
dwug_en12	xl-lexeme	tuned	wsi-fowlkes_mallows	0.776	28929
dwug_en12	xl-lexeme	tuned	lsc	0.779	28929
dwug_en12	bert	12	wic	0.503	28929
dwug_en12	bert	12	wsi-adjusted_rand_score	0.136	28929
dwug_en12	bert	12	wsi-rand_score	0.629	28929
dwug_en12	bert	12	wsi-normalized_mutual_info	0.237	28929
dwug_en12	bert	12	wsi-adjusted_mutual_info	0.138	28929
dwug_en12	bert	12	wsi-purity	0.7	28929
dwug_en12	bert	12	wsi-homogeneity	0.208	28929
dwug_en12	bert	12	wsi-fowlkes_mallows	0.636	28929
dwug_en12	bert	12	lsc	0.425	28929
dwug_en12	mbert	12	wic	0.332	28929
dwug_en12	mbert	12	wsi-adjusted_rand_score	0.067	28929
dwug_en12	mbert	12	wsi-rand_score	0.526	28929
dwug_en12	mbert	12	wsi-normalized_mutual_info	0.185	28929
dwug_en12	mbert	12	wsi-adjusted_mutual_info	0.079	28929
dwug_en12	mbert	12	wsi-purity	0.644	28929
dwug_en12	mbert	12	wsi-homogeneity	0.183	28929
dwug_en12	mbert	12	wsi-fowlkes_mallows	0.558	28929
dwug_en12	mbert	12	lsc	0.12	28929
dwug_en12	xlm-r	12	wic	0.352	28860
dwug_en12	xlm-r	12	wsi-adjusted_rand_score	0.068	28860
dwug_en12	xlm-r	12	wsi-rand_score	0.582	28860
dwug_en12	xlm-r	12	wsi-normalized_mutual_info	0.178	28860
dwug_en12	xlm-r	12	wsi-adjusted_mutual_info	0.073	28860
dwug_en12	xlm-r	12	wsi-purity	0.737	28860
dwug_en12	xlm-r	12	wsi-homogeneity	0.179	28860
dwug_en12	xlm-r	12	wsi-fowlkes_mallows	0.637	28860
dwug_en12	xlm-r	12	lsc	0.219	28860
dwug_sv12	xl-lexeme	tuned	wic	0.631	20934
dwug_sv12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.249	20934
dwug_sv12	xl-lexeme	tuned	wsi-rand_score	0.723	20934
dwug_sv12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.312	20934
dwug_sv12	xl-lexeme	tuned	wsi-adjusted_mutual_info	0.241	20934
dwug_sv12	xl-lexeme	tuned	wsi-purity	0.766	20934
dwug_sv12	xl-lexeme	tuned	wsi-homogeneity	0.253	20934
dwug_sv12	xl-lexeme	tuned	wsi-fowlkes_mallows	0.732	20934
dwug_sv12	xl-lexeme	tuned	lsc	0.721	20934
dwug_sv12	bert	12	wic	0.221	20934
dwug_sv12	bert	12	wsi-adjusted_rand_score	0.023	20934
dwug_sv12	bert	12	wsi-rand_score	0.487	20934
dwug_sv12	bert	12	wsi-normalized_mutual_info	0.117	20934
dwug_sv12	bert	12	wsi-adjusted_mutual_info	0.035	20934
dwug_sv12	bert	12	wsi-purity	0.596	20934
dwug_sv12	bert	12	wsi-homogeneity	0.105	20934
dwug_sv12	bert	12	wsi-fowlkes_mallows	0.518	20934
dwug_sv12	bert	12	lsc	0.148	20934
dwug_sv12	mbert	12	wic	0.284	20929
dwug_sv12	mbert	12	wsi-adjusted_rand_score	0.024	20929
dwug_sv12	mbert	12	wsi-rand_score	0.517	20929
dwug_sv12	mbert	12	wsi-normalized_mutual_info	0.123	20929
dwug_sv12	mbert	12	wsi-adjusted_mutual_info	0.04	20929
dwug_sv12	mbert	12	wsi-purity	0.648	20929
dwug_sv12	mbert	12	wsi-homogeneity	0.128	20929
dwug_sv12	mbert	12	wsi-fowlkes_mallows	0.567	20929
dwug_sv12	mbert	12	lsc	0.234	20929
dwug_sv12	xlm-r	12	wic	0.255	20919
dwug_sv12	xlm-r	12	wsi-adjusted_rand_score	0.031	20919
dwug_sv12	xlm-r	12	wsi-rand_score	0.536	20919
dwug_sv12	xlm-r	12	wsi-normalized_mutual_info	0.116	20919
dwug_sv12	xlm-r	12	wsi-adjusted_mutual_info	0.042	20919
dwug_sv12	xlm-r	12	wsi-purity	0.68	20919
dwug_sv12	xlm-r	12	wsi-homogeneity	0.115	20919
dwug_sv12	xlm-r	12	wsi-fowlkes_mallows	0.601	20919
dwug_sv12	xlm-r	12	lsc	0.143	20919
dwug_de12	xl-lexeme	tuned	wic	0.628	28591
dwug_de12	xl-lexeme	tuned	wsi-adjusted_rand_score	0.3	28591
dwug_de12	xl-lexeme	tuned	wsi-rand_score	0.737	28591
dwug_de12	xl-lexeme	tuned	wsi-normalized_mutual_info	0.348	28591
